x,y,value
207,2,172
208,2,172
209,2,174
210,2,175
211,2,175
211,3,175
210,3,174
209,3,172
208,3,169
207,3,165
206,3,161
205,3,160
204,3,160
203,3,159
202,3,158
201,3,158
200,3,157
199,3,157
198,3,157
197,3,156
196,3,157
195,3,156
194,3,156
193,3,156
192,3,156
191,3,157
190,3,157
189,3,158
188,3,159
187,3,159
186,3,163
185,3,169
184,3,173
183,3,176
182,3,176
181,3,176
180,3,177
179,3,176
178,3,174
177,3,173
176,3,173
175,3,173
174,3,174
173,3,175
172,3,176
171,3,175
170,3,175
169,3,175
168,3,175
167,3,175
166,3,174
165,3,174
164,3,172
163,3,172
162,3,173
161,3,172
160,3,173
159,3,173
158,3,173
157,3,173
156,3,174
155,3,174
154,3,173
153,3,173
152,3,173
151,3,173
150,3,173
149,3,173
148,3,174
147,3,174
146,3,173
145,3,174
144,3,174
143,3,175
142,3,175
141,3,175
140,3,175
139,3,174
138,3,175
137,3,175
136,3,175
135,3,174
134,3,175
133,3,174
132,3,175
131,3,175
130,3,175
129,3,175
128,3,175
127,3,174
126,3,174
125,3,174
124,3,174
123,3,174
122,3,175
121,3,174
120,3,174
119,3,174
118,3,175
117,3,174
116,3,176
115,3,175
114,3,176
113,3,176
112,3,175
111,3,176
110,3,176
109,3,176
108,3,176
107,3,176
106,3,176
105,3,176
104,3,176
103,3,176
102,3,176
101,3,176
100,3,176
99,3,177
98,3,176
97,3,176
96,3,175
95,3,176
94,3,176
93,3,176
92,3,176
91,3,176
90,3,176
89,3,175
88,3,175
87,3,176
86,3,176
85,3,176
84,3,176
83,3,177
82,3,177
81,3,177
80,3,177
79,3,176
78,3,177
77,3,176
76,3,177
75,3,177
74,3,177
73,3,176
72,3,176
71,3,177
70,3,178
69,3,177
68,3,177
67,3,177
66,3,178
65,3,178
64,3,178
63,3,178
62,3,178
61,3,178
60,3,177
59,3,178
58,3,178
57,3,178
56,3,178
55,3,178
54,3,178
53,3,178
52,3,177
51,3,177
50,3,178
49,3,178
48,3,176
47,3,177
46,3,177
45,3,177
44,3,177
43,3,176
42,3,176
41,3,176
40,3,176
39,3,177
38,3,177
37,3,177
36,3,177
35,3,177
34,3,178
33,3,178
32,3,179
31,3,179
30,3,179
29,3,180
28,3,180
27,3,180
26,3,180
25,3,180
24,3,180
23,3,180
22,3,180
21,3,180
20,3,180
19,3,180
18,3,180
17,3,180
16,3,180
15,3,180
14,3,180
13,3,180
12,3,179
11,3,178
10,3,178
9,3,178
8,3,179
7,3,179
6,3,178
5,3,180
4,3,179
3,3,180
2,3,180
1,3,180
0,3,180
0,4,180
1,4,180
2,4,180
3,4,180
4,4,180
5,4,179
6,4,179
7,4,179
8,4,179
9,4,179
10,4,179
11,4,179
12,4,179
13,4,179
14,4,179
15,4,179
16,4,179
17,4,179
18,4,179
19,4,178
20,4,179
21,4,179
22,4,179
23,4,178
24,4,179
25,4,179
26,4,180
27,4,180
28,4,180
29,4,181
30,4,181
31,4,181
32,4,181
33,4,181
34,4,181
35,4,181
36,4,180
37,4,179
38,4,178
39,4,178
40,4,178
41,4,178
42,4,179
43,4,179
44,4,179
45,4,179
46,4,179
47,4,179
48,4,179
49,4,179
50,4,179
51,4,180
52,4,179
53,4,179
54,4,178
55,4,179
56,4,178
57,4,178
58,4,178
59,4,177
60,4,177
61,4,177
62,4,177
63,4,176
64,4,176
65,4,176
66,4,176
67,4,176
68,4,177
